year,status,flag,wrestler,name,team,weight_class,seed,placement,ncaa_wins,ncaa_losses,individual_id,cand_last_year,cand_last_team,cand_last_weight,cand_teams
2026,linked,transfer + 1-class move,AJ Ferrari (Nebraska),AJ Ferrari,Nebraska,285,4,Sixth,3,3,11,2025,Cal State-Bakersfield,197,Cal State-Bakersfield | Oklahoma State
2026,linked,transfer + 1-class move,Alex Facundo (Oklahoma State),Alex Facundo,Oklahoma State,174,8,NA,2,2,204,2023,Penn State,165,Penn State
2026,linked,2-yr gap,Anthony Echemendia (Iowa State),Anthony Echemendia,Iowa State,141,4,Sixth,4,3,416,2024,Iowa State,141,Iowa State
2026,linked,transfer,Blake Boarman (Purdue),Blake Boarman,Purdue,133,24,NA,0,2,986,2025,Tennessee-Chattanooga,133,Tennessee-Chattanooga
2026,linked,transfer + 1-class move,Braden Basile (Army West Point),Braden Basile,Army West Point,141,26,NA,0,2,1400,2024,Army,133,Army
2026,linked,transfer,Brady Colbert (Army West Point),Brady Colbert,Army West Point,285,15,NA,2,2,1406,2025,Army,285,Army
2026,linked,2-class move,Branson John (Maryland),Branson John,Maryland,197,16,Eighth,4,3,1458,2025,Maryland,174,Maryland
2026,linked,3-yr gap,Braxton Amos (Wisconsin),Braxton Amos,Wisconsin,285,12,NA,3,2,1459,2023,Wisconsin,197,Wisconsin
2026,linked,transfer,Brian Soldano (Oklahoma),Brian Soldano,Oklahoma,184,20,NA,2,2,1593,2024,Rutgers,184,Rutgers
2026,linked,2-yr gap,Cael Swensen (South Dakota State),Cael Swensen,South Dakota State,157,16,NA,1,2,1788,2024,South Dakota State,157,South Dakota State
2026,linked,2-yr gap,Cael Valencia (Arizona State),Cael Valencia,Arizona State,174,31,NA,0,2,1789,2024,Arizona State,174,Arizona State
2026,linked,transfer,Caleb Rathjen (Northern Iowa),Caleb Rathjen,Northern Iowa,149,14,NA,2,2,1803,2024,Iowa,149,Iowa
2026,linked,transfer,Caleb Tyus (SIU Edwardsville),Caleb Tyus,SIU Edwardsville,149,6,NA,1,2,1806,2024,SIU-Edwardsville,149,SIU-Edwardsville
2026,linked,transfer + 1-class move,Carter Young (Maryland),Carter Young,Maryland,149,12,NA,2,2,1881,2023,Oklahoma State,141,Oklahoma State
2026,linked,transfer,Casey Swiderski (Oklahoma State),Casey Swiderski,Oklahoma State,149,8,Eighth,3,3,1904,2024,Iowa State,149,Iowa State
2026,linked,transfer,Chance Lamer (Nebraska),Chance Lamer,Nebraska,149,20,Fourth,4,2,1958,2025,Cal Poly,149,Cal Poly | Michigan
2026,linked,2-class move,Chris Moore (Illinois),Chris Moore,Illinois,184,9,NA,2,2,2204,2024,Illinois,165,Illinois
2026,linked,transfer + 1-class move,Colton Hawks (Arizona State),Colton Hawks,Arizona State,197,29,NA,2,2,2476,2025,Missouri,184,Missouri
2026,linked,transfer,Colton Washleski (Virginia),Colton Washleski,Virginia,157,22,NA,0,2,2484,2024,Rider,157,Rider
2026,linked,transfer,Cooper Flynn (Chattanooga),Cooper Flynn,Chattanooga,125,26,NA,2,2,2508,2025,Minnesota,125,Minnesota | Virginia Tech
2026,linked,2-yr gap,Daniel Cardenas (Stanford),Daniel Cardenas,Stanford,157,9,NA,3,2,2872,2024,Stanford,157,Stanford
2026,linked,transfer,David Szuba (Arizona State),David Szuba,Arizona State,285,10,Seventh,5,2,3298,2024,Rider,285,Rider
2026,linked,transfer,Dean Peterson (Iowa),Dean Peterson,Iowa,125,8,NA,2,2,3342,2025,Rutgers,125,Rutgers
2026,linked,2-class move,Derek Gilcher (Indiana),Derek Gilcher,Indiana,174,26,NA,0,2,3434,2023,Indiana,157,Indiana
2026,linked,transfer,Diego Sotelo (Michigan),Diego Sotelo,Michigan,125,20,NA,0,2,3580,2024,Harvard,125,Harvard
2026,linked,transfer,Dylan Fishback (Ohio State),Dylan Fishback,Ohio State,184,12,NA,1,2,3959,2025,North Carolina State,184,North Carolina State
2026,linked,transfer + 2-class move,Elijah Griffin (Rider),Elijah Griffin,Rider,141,15,NA,3,2,4142,2024,California Baptist,125,California Baptist
