year,wrestler,name,team,weight_class,seed,placement,ncaa_wins,ncaa_losses,reason,n_candidates,candidate_ids,candidate_names,cand_first_year,cand_last_year,cand_last_team,cand_last_weight,cand_teams,cand_weights,cand_seasons,gap_years,weight_delta,classes_moved,team_changed,span_to_now,decision_individual_id,decision_is_new,notes
2026,Andre Gonzales (Cal Poly),Andre Gonzales,Cal Poly,149,27,NA,1,2,16-yr gap since last appearance,1,287,Andre Gonzales,2010,2010,Cal State-Fullerton,125,Cal State-Fullerton,125,1,16,24,3,TRUE,16,NA,TRUE,NA
2026,Angelo Ferrari (Iowa),Angelo Ferrari,Iowa,184,7,Sixth,3,3,same last name + initial as recent: AJ Ferrari (last 2025)  (nickname or relative?),0,11,AJ Ferrari (last 2025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA
2026,Ayden Smith (Rutgers),Ayden Smith,Rutgers,125,24,NA,0,2,same last name + initial as recent: Andy Smith (last 2025)  (nickname or relative?),0,376,Andy Smith (last 2025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA
2026,Brock Mantanona (Michigan),Brock Mantanona,Michigan,184,5,Fifth,4,2,same last name + initial as recent: Beau Mantanona (last 2025)  (nickname or relative?),0,604,Beau Mantanona (last 2025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA
2026,David Evans (Utah Valley),David Evans,Utah Valley,149,9,NA,1,2,same last name + initial as recent: Dylan Evans (last 2025)  (nickname or relative?),0,3958,Dylan Evans (last 2025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA
2026,Haiden Drury (Utah Valley),Haiden Drury,Utah Valley,141,19,NA,1,2,4-yr gap since last appearance,1,5164,Haiden Drury,2022,2022,Utah Valley,133,Utah Valley,133,1,4,8,1,FALSE,4,5164,NA,NA
2026,James Conway (Franklin and Marshall),James Conway,Franklin and Marshall,184,4,NA,3,2,name shared by multiple prior individuals,2,5652,James Conway,2024,2024,Franklin & Marshall,184,Franklin & Marshall,184,1,2,0,0,TRUE,2,5652,NA,NA
2026,James Conway (Franklin and Marshall),James Conway,Franklin and Marshall,184,4,NA,3,2,name shared by multiple prior individuals,2,13211,James Conway,2025,2025,Missouri,157,Missouri,157,1,1,27,3,TRUE,1,NA,NA,NA
2026,Jimmy Harrington (Harvard),Jimmy Harrington,Harvard,157,20,NA,1,2,same last name + initial as recent: James Harrington (last 2025)  (nickname or relative?),0,5673,James Harrington (last 2025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,5673,NA,NA
2026,Joey Novak (Wyoming),Joey Novak,Wyoming,197,5,Fourth,4,2,same last name + initial as recent: Joseph Novak (last 2025)  (nickname or relative?),0,7365,Joseph Novak (last 2025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,7365,NA,NA
2026,Joey Olivieri (Rutgers),Joey Olivieri,Rutgers,141,9,NA,1,2,same last name + initial as recent: Joseph Olivieri (last 2025)  (nickname or relative?),0,7366,Joseph Olivieri (last 2025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,7366,NA,NA
2026,Juan Mora (Oklahoma),Juan Mora,Oklahoma,285,21,NA,2,2,21-yr gap since last appearance,1,7453,Juan Mora,2003,2005,Cal State-Fullerton,141,Cal State-Fullerton,141,3,21,144,7,TRUE,23,NA,TRUE,NA
2026,Matty Singleton (NC State),Matty Singleton,NC State,174,6,NA,3,2,same last name + initial as recent: Matthew Singleton (last 2025)  (nickname or relative?),0,8963,Matthew Singleton (last 2025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,8963,NA,NA
2026,Mikey Caliendo (Iowa),Mikey Caliendo,Iowa,165,3,Second,4,1,same last name + initial as recent: Mike Caliendo (last 2025)  (nickname or relative?),0,9164,Mike Caliendo (last 2025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,9164,NA,NA
2026,Sonny Sasso (Virginia Tech),Sonny Sasso,Virginia Tech,197,4,NA,1,2,same last name + initial as recent: Sammy Sasso (last 2023)  (nickname or relative?),0,11366,Sammy Sasso (last 2023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA
2026,T.K. Davis (Gardner-Webb),T.K. Davis,Gardner-Webb,133,17,NA,2,2,same last name + initial as recent: Takeo Davis (last 2025)  (nickname or relative?),0,12004,Takeo Davis (last 2025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,12004,NA,NA
