individual_id,name,team,weight_class,year,seed,placement,wrestler,source_wrestler_id,origin
1,A. Barshay,Temple,136,1939,NA,NA,A. Barshay (Temple),A. Barshay_1939-1939,seed<=2025
2,A.A. Bergner,Navy,275,1939,NA,NA,A.A. Bergner (Navy),A.A. Bergner_1939-1939,seed<=2025
3,A.J. Brooks,Clarion,285,2007,NA,NA,A.J. Brooks (Clarion),A.J. Brooks_2007-2007,seed<=2025
4,A.J. Capelli,Marquette,150,1970,NA,NA,A.J. Capelli (Marquette),A.J. Capelli_1970-1970,seed<=2025
5,A.J. Grant,Michigan,125,2000,NA,NA,A.J. Grant (Michigan),A.J. Grant_2000-2003,seed<=2025
5,A.J. Grant,Michigan,125,2001,10,Fourth,A.J. Grant (Michigan),A.J. Grant_2000-2003,seed<=2025
5,A.J. Grant,Michigan,125,2002,10,NA,A.J. Grant (Michigan),A.J. Grant_2000-2003,seed<=2025
5,A.J. Grant,Michigan,125,2003,4,Fourth,A.J. Grant (Michigan),A.J. Grant_2000-2003,seed<=2025
6,A.J. Johnson,Edinboro,285,1999,NA,NA,A.J. Johnson (Edinboro),A.J. Johnson_1999-2000,seed<=2025
6,A.J. Johnson,Edinboro,197,2000,12,NA,A.J. Johnson (Edinboro),A.J. Johnson_1999-2000,seed<=2025
7,A.J. Kissel,Purdue,184,2008,NA,NA,A.J. Kissel (Purdue),A.J. Kissel_2008-2012,seed<=2025
7,A.J. Kissel,Purdue,184,2009,NA,NA,A.J. Kissel (Purdue),A.J. Kissel_2008-2012,seed<=2025
7,A.J. Kissel,Purdue,184,2011,NA,NA,A.J. Kissel (Purdue),A.J. Kissel_2008-2012,seed<=2025
7,A.J. Kissel,Purdue,197,2012,NA,NA,A.J. Kissel (Purdue),A.J. Kissel_2008-2012,seed<=2025
8,A.J. Schopp,Edinboro,133,2012,7,NA,A.J. Schopp (Edinboro),A.J. Schopp_2012-2015,seed<=2025
8,A.J. Schopp,Edinboro,133,2013,4,Fourth,A.J. Schopp (Edinboro),A.J. Schopp_2012-2015,seed<=2025
8,A.J. Schopp,Edinboro,133,2014,2,Fourth,A.J. Schopp (Edinboro),A.J. Schopp_2012-2015,seed<=2025
8,A.J. Schopp,Edinboro,133,2015,9,Third,A.J. Schopp (Edinboro),A.J. Schopp_2012-2015,seed<=2025
9,A.M. Impagiliazzo,Brown,155,1933,NA,NA,A.M. Impagiliazzo (Brown),A.M. Impagiliazzo_1933-1933,seed<=2025
10,AJ Burkhart,Lehigh,184,2022,31,NA,AJ Burkhart (Lehigh),AJ Burkhart_2022-2022,seed<=2025
11,AJ Ferrari,Oklahoma State,197,2021,4,First,AJ Ferrari (Oklahoma State),AJ Ferrari_2021-2025,seed<=2025
11,AJ Ferrari,Cal State-Bakersfield,197,2025,3,Third,AJ Ferrari (Cal State-Bakersfield),AJ Ferrari_2021-2025,seed<=2025
11,AJ Ferrari,Nebraska,285,2026,4,Sixth,AJ Ferrari (Nebraska),NA,linked-2026
12,AJ Nevills,Fresno State,285,2018,29,NA,AJ Nevills (Fresno State),AJ Nevills_2018-2023,seed<=2025
12,AJ Nevills,Fresno State,285,2019,14,NA,AJ Nevills (Fresno State),AJ Nevills_2018-2023,seed<=2025
12,AJ Nevills,South Dakota State,285,2022,22,NA,AJ Nevills (South Dakota State),AJ Nevills_2018-2023,seed<=2025
12,AJ Nevills,South Dakota State,285,2023,14,NA,AJ Nevills (South Dakota State),AJ Nevills_2018-2023,seed<=2025
13,AJ Rallo,Bellarmine,141,2025,25,NA,AJ Rallo (Bellarmine),AJ Rallo_2025-2025,seed<=2025
14,Aaron Anspach,Penn State,285,2007,2,Second,Aaron Anspach (Penn State),Aaron Anspach_2007-2007,seed<=2025
15,Aaron Ayzerov,Columbia,184,2024,13,NA,Aaron Ayzerov (Columbia),Aaron Ayzerov_2024-2024,seed<=2025
16,Aaron Brooks,Penn State,184,2021,1,First,Aaron Brooks (Penn State),Aaron Brooks_2021-2024,seed<=2025
16,Aaron Brooks,Penn State,184,2022,2,First,Aaron Brooks (Penn State),Aaron Brooks_2021-2024,seed<=2025
16,Aaron Brooks,Penn State,184,2023,3,First,Aaron Brooks (Penn State),Aaron Brooks_2021-2024,seed<=2025
16,Aaron Brooks,Penn State,197,2024,1,First,Aaron Brooks (Penn State),Aaron Brooks_2021-2024,seed<=2025
17,Aaron Bruce,Liberty,177,1992,NA,NA,Aaron Bruce (Liberty),Aaron Bruce_1992-1994,seed<=2025
17,Aaron Bruce,Liberty,190,1994,9,NA,Aaron Bruce (Liberty),Aaron Bruce_1992-1994,seed<=2025
18,Aaron Gaier,Oklahoma,158,1991,NA,NA,Aaron Gaier (Oklahoma),Aaron Gaier_1991-1991,seed<=2025
19,Aaron Holker,Brigham Young,133,1999,NA,Seventh,Aaron Holker (Brigham Young),Aaron Holker_1999-2003,seed<=2025
19,Aaron Holker,Brigham Young,141,2000,NA,NA,Aaron Holker (Brigham Young),Aaron Holker_1999-2003,seed<=2025
19,Aaron Holker,Iowa State,141,2002,5,First,Aaron Holker (Iowa State),Aaron Holker_1999-2003,seed<=2025
19,Aaron Holker,Iowa State,141,2003,5,Seventh,Aaron Holker (Iowa State),Aaron Holker_1999-2003,seed<=2025
20,Aaron Holloway,SIU-Carbondale,167,1970,NA,NA,Aaron Holloway (SIU-Carbondale),Aaron Holloway_1970-1970,seed<=2025
21,Aaron Hynes,Michigan,157,2009,NA,NA,Aaron Hynes (Michigan),Aaron Hynes_2009-2009,seed<=2025
22,Aaron Janssen,Iowa,165,2011,11,NA,Aaron Janssen (Iowa),Aaron Janssen_2011-2011,seed<=2025
23,Aaron Kalil,Navy,125,2010,NA,NA,Aaron Kalil (Navy),Aaron Kalil_2010-2012,seed<=2025
23,Aaron Kalil,Navy,125,2011,NA,NA,Aaron Kalil (Navy),Aaron Kalil_2010-2012,seed<=2025
23,Aaron Kalil,Navy,133,2012,NA,NA,Aaron Kalil (Navy),Aaron Kalil_2010-2012,seed<=2025
24,Aaron Kelly,Liberty,174,2008,NA,NA,Aaron Kelly (Liberty),Aaron Kelly_2008-2008,seed<=2025
25,Aaron Malinsky,Franklin & Marshall,191,1968,NA,NA,Aaron Malinsky (Franklin & Marshall),Aaron Malinsky_1968-1968,seed<=2025
26,Aaron Martin,Tennessee-Chattanooga,149,2006,NA,NA,Aaron Martin (Tennessee-Chattanooga),Aaron Martin_2006-2007,seed<=2025
26,Aaron Martin,Tennessee-Chattanooga,149,2007,8,NA,Aaron Martin (Tennessee-Chattanooga),Aaron Martin_2006-2007,seed<=2025
27,Aaron Mickiewicz,VMI,126,1995,NA,NA,Aaron Mickiewicz (Virginia Military),Aaron Mickiewicz_1995-1996,seed<=2025
27,Aaron Mickiewicz,VMI,126,1996,NA,NA,Aaron Mickiewicz (Virginia Military),Aaron Mickiewicz_1995-1996,seed<=2025
28,Aaron Miller,Kent State,174,2006,NA,NA,Aaron Miller (Kent State),Aaron Miller_2006-2006,seed<=2025
29,Aaron Moran,Purdue,167,1993,NA,NA,Aaron Moran (Purdue),Aaron Moran_1993-1994,seed<=2025
29,Aaron Moran,Purdue,158,1994,NA,Sixth,Aaron Moran (Purdue),Aaron Moran_1993-1994,seed<=2025
30,Aaron Nagao,Minnesota,133,2023,8,Fifth,Aaron Nagao (Minnesota),Aaron Nagao_2023-2024,seed<=2025
30,Aaron Nagao,Penn State,133,2024,10,NA,Aaron Nagao (Penn State),Aaron Nagao_2023-2024,seed<=2025
31,Aaron Olmos,Oregon State,174,2023,12,NA,Aaron Olmos (Oregon State),Aaron Olmos_2023-2023,seed<=2025
32,Aaron Peters,Navy,150,1989,NA,NA,Aaron Peters (Navy),Aaron Peters_1989-1989,seed<=2025
33,Aaron Schetter,Ohio State,142,1992,NA,NA,Aaron Schetter (Ohio State),Aaron Schetter_1992-1992,seed<=2025
34,Aaron Scott,Iowa State,174,2008,NA,NA,Aaron Scott (Iowa State),Aaron Scott_2008-2008,seed<=2025
35,Aaron Simpson,Arizona State,177,1995,NA,NA,Aaron Simpson (Arizona State),Aaron Simpson_1995-1998,seed<=2025
35,Aaron Simpson,Arizona State,177,1996,12,Eighth,Aaron Simpson (Arizona State),Aaron Simpson_1995-1998,seed<=2025
35,Aaron Simpson,Arizona State,177,1997,3,NA,Aaron Simpson (Arizona State),Aaron Simpson_1995-1998,seed<=2025
35,Aaron Simpson,Arizona State,177,1998,2,Fourth,Aaron Simpson (Arizona State),Aaron Simpson_1995-1998,seed<=2025
36,Aaron Smith,Millersville,197,2004,NA,NA,Aaron Smith (Millersville),Aaron Smith_2004-2004,seed<=2025
37,Aaron Stark,Wisconsin,190,1996,NA,NA,Aaron Stark (Wisconsin),Aaron Stark_1996-1998,seed<=2025
37,Aaron Stark,Wisconsin,190,1997,NA,NA,Aaron Stark (Wisconsin),Aaron Stark_1996-1998,seed<=2025
37,Aaron Stark,Wisconsin,275,1998,9,NA,Aaron Stark (Wisconsin),Aaron Stark_1996-1998,seed<=2025
38,Aaron Strobel,Clemson,190,1995,NA,NA,Aaron Strobel (Clemson),Aaron Strobel_1995-1996,seed<=2025
38,Aaron Strobel,Oklahoma State,190,1996,NA,NA,Aaron Strobel (Oklahoma State),Aaron Strobel_1995-1996,seed<=2025
39,Aaron Studebaker,Nebraska,197,2015,15,NA,Aaron Studebaker (Nebraska),Aaron Studebaker_2015-2017,seed<=2025
39,Aaron Studebaker,Nebraska,197,2016,8,NA,Aaron Studebaker (Nebraska),Aaron Studebaker_2015-2017,seed<=2025
39,Aaron Studebaker,Nebraska,197,2017,7,Fifth,Aaron Studebaker (Nebraska),Aaron Studebaker_2015-2017,seed<=2025
40,Aaron Sulzer,Eastern Michigan,157,2011,NA,NA,Aaron Sulzer (Eastern Michigan),Aaron Sulzer_2011-2012,seed<=2025
